id,title,empesa,local,salario,tipo,descricao,links
1,Desenvolvedor RPA - Pleno,Deloitte,"Recife - PE, a 18 km de você.",Salário a combinar,Híbrido,"['Ensino Superior Completo em cursos de TI,\nExperiência prática com ferramentas RPA, especialmente com Automation Anywhere (nível desenvolvedor).\nConhecimento em Python, voltado para automações simples (com bibliotecas como Selenium, PyAutoGUI, PyWinAuto etc.).\nConhecimentos em VBA e manipulação de arquivos (Excel, TXT, CSV, PDF).\nConhecimentos em interpretação e elaboração de diagramas UML e modelagem de processos em BPMN (desejável).\nConhecimento intermediário em bancos de dados relacionais: SQL, consultas, triggers, procedures (MySQL, PostgreSQL, Oracle).\nExperiência com consumo de APIs REST/SOAP (com ferramentas como Postman ou por código).\nFamiliaridade com HTML, XML, e conceitos de integração de sistemas.\nDesejável: conhecimentos iniciais de .NET ou Java.\nCertificação Advanced na ferramenta Automation Anywhere ou similar em outra plataforma.\nNúmero de vagas: 1\nTipo de contrato e Jornada: Efetivo – CLT - Período Integral\nÁrea Profissional: Analista em Informática, TI, Telecomunicações - Programador / Desenvolvedor\nExigências\nEscolaridade Mínima: Ensino Superior\nValorizado\nExperiência desejada: Entre 3 e 5 anos\nBanco de dados: Oracle, SQL Server, PostgreSQL\nProgramação: Dot Net, Python\nBenefícios\nAjuda de custo\nAssistência médica\nAssistência odontológica\nAuxílio Educação\nAuxílio farmácia\nParticipação nos lucros\nPrevidência Privada\nSeguro de Vida\nVale-alimentação\nVale-refeição\nVale-transporte\nDenunciar vaga']","{'vaga': '/vaga-de-desenvolvedor-rpa-pleno-em-pernambuco__10715049.aspx', 'empresa': 'https://www.infojobs.com.br/empresa-deloitte__894091.aspx'}"
2,Estagiário(A) Em Análise De Dados,Recruta Easy,"Recife - PE, a 15,5 km de você.","R$ 875,00 (Bruto mensal)",Presencial,"['Somos uma empresa em busca de estudantes de Administração, Economia, Ciência de Dados ou áreas correlatas para integrar seu programa de estágio na área de Análise de Dados. O Estagiário(a) em Análise de Dados terá a oportunidade de atuar diretamente no apoio à gestão de informações, desenvolvimento de relatórios e construção de instrumentos que apoiem a tomada de decisão estratégica da empresa. Entre as principais atividades estão: \n\n Elaborar documentos e instrumentos de controle para análise de desempenho;\n Estruturar planilhas e painéis de controle em Microsoft Excel e Power BI;\n Elaborar relatórios e documentações técnicas;\n Apoiar no desenvolvimento de soluções analíticas utilizando Python, organização e tratamento de dados em planilhas e bancos de dados, comunicação clara e objetiva com diferentes áreas e lideranças da empresa.\n\nBuscamos um estudante criativo, proativo e organizado, interessado em desenvolver suas habilidades em um ambiente dinâmico e estratégico.\nNúmero de vagas: 1\nTipo de contrato e Jornada: Estágio - Período Integral\nÁrea Profissional: Estagiário em Informática, TI, Telecomunicações - Administrador de Banco de Dados\nExigências\nEscolaridade Mínima: Ensino Superior\nValorizado\nExperiência desejada: Sem experiência\nProgramação: Python\nHabilidades\npower bi\npython\nBenefícios\nSeguro de Vida\nDenunciar vaga']","{'vaga': '/vaga-de-estagiarioa-analise-dados-em-pernambuco__10619093.aspx', 'empresa': 'https://www.infojobs.com.br/empresa-recruta-easy__856903.aspx'}"
3,Analista De Dados Sênior,FEDERAL ENERGIA,"Recife - PE, a 17,7 km de você.",Salário a combinar,Presencial,"['A Federal Energia é uma empresa que atua no ramo de distribuição de combustíveis e está em busca de um profissional qualificado para ocupar a posição de Analista de Dados Sênior em nossa equipe. O profissional será responsável por transformar dados em informações estratégicas, apoiar a tomada de decisões e desenvolver soluções automatizadas para melhoria contínua dos processos corporativos além de possuir forte atuação em Business Intelligence (BI) e Automação de Processos (RPA).\n\nResponsabilidades:\n\nDesenvolver e manter dashboards e relatórios interativos utilizando QlikSense;\nImplementar e automatizar fluxos de trabalho com Power Automate (Microsoft Power Platform);\nIntegrar e analisar dados de diferentes fontes (ERP, CRM, sistemas internos);\nCriar e otimizar rotinas de extração, tratamento e modelagem de dados;\nIdentificar oportunidades de melhoria nos processos com foco em automação e eficiência;\nApoiar times de negócio com insights baseados em dados e análises preditivas;\nGarantir a qualidade, governança e segurança dos dados utilizados nas análises.\n\n\nRequisitos:\n\nFormação superior completa em Ciência da Computação, Engenharia, Sistemas de Informação ou áreas correlatas;\nVivência em QlikSense (scripts, modelagem, visualizações e performance);\nConhecimento avançado em Power Automate e/ou Microsoft Power Platform;\nDomínio de bancos de dados relacionais (SQL Server, MySQL, etc.);\nSólidos conhecimentos em ETL, modelagem de dados, data warehouse;\nCapacidade analítica e pensamento crítico para resolver problemas de negócio com base em dados;\nBoa comunicação, postura consultiva e perfil colaborativo.\n\nDiferenciais:\n\nExperiência com outras ferramentas de BI (Power BI, Tableau, etc.);\nConhecimento em linguagens como Python ou R para análises estatísticas;\nExperiência com RPA além da Power Platform (ex: UiPath, Automation Anywhere);\nProjetos envolvendo Big Data, Data Lake, ou IA aplicada a dados.\n\nA Federal Energia valoriza o desenvolvimento e oferece um ambiente de trabalho colaborativo, com oportunidades de crescimento profissional e aprendizado contínuo. Se você se identifica com nossa missão e está em busca de uma empresa comprometida com a sustentabilidade, venha fazer parte de nossa equipe!\n\nOferecemos salário e benefícios competitivos.\n\nSe você atende aos requisitos mencionados e está interessado(a) em se candidatar, inscreva-se na vaga, deixando seu currículo atualizado. Daremos retorno aos candidatos que melhor atenderem às necessidades da vaga.\n\nVenha fazer parte da Federal Energia!\n Benefícios:\n -. Vale-alimentação\n -. Vale-refeição\n -. Vale-transporte\n -. Kit Natalino\n -. Assistência médica\n -. Participação nos lucros\n -. Incentivo a atividade Física( Aulas MuayThai)\nNúmero de vagas: 1\nTipo de contrato e Jornada: Efetivo – CLT - Período Integral\nÁrea Profissional: Analista em Informática, TI, Telecomunicações - Processamento de Dados\nExigências\nEscolaridade Mínima: Ensino Superior\nValorizado\nCiências da computação; Ensino Superior, Engenharia da computação; Ensino Superior, Tecnologia da Informação; Ensino Superior\nDenunciar vaga']","{'vaga': '/vaga-de-analista-dados-senior-em-pernambuco__10616243.aspx', 'empresa': 'https://www.infojobs.com.br/empresa-federal-energia__-10893121.aspx'}"
4,Técnico De Data Center,FSBR SOFTWARE,"Recife - PE, a 13,8 km de você.",,Presencial,"['Responsabilidades:\n Controlar e operar o ambiente tecnológico da SEFAZ/PE, incluindo servidores, recursos de rede, sistemas e softwares ambientais;\n Monitorar, detectar e registrar incidentes no ambiente tecnológico;\n Solucionar, ou encaminhar para solução, com base nos Procedimentos Operacionais Padrão (POP), os incidentes monitorados;\n Executar as atividades de salva cópia de segurança (backup) e recuperação de dados (restore);\n Operar e monitorar os recursos de fitoteca do ambiente tecnológico da SEFAZ/PE;\n Operar e monitorar os recursos de impressão do ambiente tecnológico da SEFAZ/PE;\n Apoiar a definição e configuração dos eventos a serem monitorados;\n Validar novas rotinas e sistemas a serem instalados na produção;\n Planejar e controlar o agendamento de execução de rotinas em ferramenta de scheduler;\n Elaborar e manter os jobs das rotinas e sistemas em produção;\n Executar e monitorar as rotinas e sistemas em produção, de acordo com o planejamento, os Procedimentos Operacionais Padrão (POP), e os níveis de serviço estabelecidos;\n Controlar o acesso físico às instalações da área de produção;\n Realizar outras tarefas, não especificadas acima, inerentes à função.\n\nConhecimento Técnico:\n Monitoramento e operação de servidores, rede e sistemas em ambientes críticos;\n Ferramentas de monitoração e registro de incidentes;\n Procedimentos de backup (salva cópia) e recuperação de dados (restore);\n Ferramentas de automação e agendamento de rotinas (scheduler);\n Sistemas operacionais Windows Server e Linux; \n Shell Script ou Phyton;\n Controle e operação de fitoteca e recursos de impressão;\n Operação básica de equipamentos de rede;\n Certificação Linux Profissional.\n\nRequisitos:\n Curso técnico ou superior completo ou em andamento na área de Tecnologia da Informação ou afins, devidamente reconhecido pelo MEC.\n Mínimo de 6 (seis) meses de experiência em ambientes de data center e nas atividades descritas.\n\nBenefícios: Oferecemos benefícios como Vale Alimentação, Auxílio-Creche, Auxílio-Lente e Assistência Médica com Coparticipação para regime CLT. Alocação no cliente, remuneração de 1.821,00, com modelo de trabalho presencial em Recife/PE, em escala 24x7 (turnos de 6 horas).\nNúmero de vagas: 1\nTipo de contrato e Jornada: Efetivo – CLT - Parcial manhãs\nÁrea Profissional: Assistente em Informática, TI, Telecomunicações - Suporte Técnico\nExigências\nEscolaridade Mínima: Curso Técnico\nValorizado\nProgramação: Python\nSistemas Operacionais: Linux\nBenefícios\nAssistência médica\nAuxílio creche\nVale-alimentação\nDenunciar vaga']","{'vaga': '/vaga-de-tecnico-data-center-em-pernambuco__10702122.aspx', 'empresa': 'https://www.infojobs.com.br/empresa-fsbr-software__-7152017.aspx'}"
5,Pessoa Analista De Dados Pleno - Exclusiva PCD,DAKI,Todo Brasil,Salário a combinar,PcD Híbrido,"['A Daki nasceu para revolucionar o delivery de mercado. O que antes alguém recebia em horas ou dias, agora recebe em minutos!\nMais que entregar rápido, buscamos entregar uma experiência incrível para os nossos clientes. Buscamos aquele ""UAU"" de quando o cliente recebe muito antes do que esperava.\nE tudo começa muito antes da montagem do pedido, na verdade, começa bem aqui.\n\nSobre a vaga:\nEstamos em busca de uma pessoa analista de dados pleno para integrar nosso time de Data & Analytics. Procuramos alguém com forte capacidade analítica, pensamento estruturado e boa comunicação para traduzir desafios de negócio em soluções baseadas em dados — indo de KPIs a automações com inteligência artificial. Se você gosta de trabalhar com grandes volumes de dados, construir análises acionáveis e tem curiosidade sobre como IA pode impulsionar decisões, essa vaga é para você.\n\nSobre o time de Data & Analytics\nNosso time é composto por engenheiros, analistas e cientistas de dados que lideram a estratégia analítica da Daki. Trabalhamos com uma stack moderna (Snowflake, Looker, Python, Airflow, PubSub, entre outros) e colaboramos diretamente com áreas como Operações, Comercial, CX, Produto e Tech. Mais do que gerar insights, ajudamos a escalar uma cultura data-driven e acelerar o uso de IA aplicada a negócios. Nossa ambição é ser referência em dados no varejo latino-americano.\n\nResponsabilidades:\n*Trabalhar em parceria com stakeholders para identificar oportunidades analíticas e construir roadmaps de dados;\n* Criar, manter e evoluir KPIs, dashboards, análises ad-hoc e automações analíticas;\n* Participar de iniciativas que envolvem machine learning ou uso de LLMs/IA generativa como copilotos analíticos;\n* Desenvolver e documentar modelos de dados e processos analíticos reutilizáveis;\n* Garantir consistência nas definições de métricas em toda a companhia;\n* Trabalhar com times multidisciplinares (Data Engineering, Data Science, Produto, Tech, etc.) em projetos complexos;\n* Apoiar o uso das ferramentas de self-service BI pela companhia com orientação técnica e disseminação de boas práticas.\n\nRequisitos\n* Experiência sólida com SQL e ferramentas de visualização (preferência por Looker);\n* Vivência com grandes volumes de dados e múltiplas fontes;\n* Boa capacidade de estruturação de análises e storytelling com dados;\n* Experiência com Python para análise de dados (pandas, numpy, jupyter notebooks);\n* Conhecimento em modelagem de dados e conceitos de Data Warehousing;\n* Interesse ou experiência prática em projetos com AI aplicada (ex: automações com LLMs, copilotos, classificação via ML etc.);\n* Boa comunicação e habilidade de trabalhar em equipe;\n* Inglês intermediário (para leitura de documentação e colaboração com áreas globais é um diferencial).\n\nInformações adicionais:\nEstamos em crescimento: Nosso modelo de trabalho é híbrido, permitindo que o Dakier atue de forma remota e presencial;\nSomos Modernos: por meio do cartão Flash, você recebe o vale refeição, dando mais liberdade ao Dakier de como utilizar;\nTransporte: realizamos o depósito direto no VT de acordo com a necessidade de passagem do Dakier até a unidade;\nSaúde: Hoje disponibilizamos para o nosso Dakier a Assistência Médica e Odontológica, e também o Total Pass;\nMimo: Nossos Dakier tem desconto de 10% em todas as compras feitas em nosso do APP.\nNúmero de vagas: 1\nTipo de contrato e Jornada: Efetivo – CLT - Período Integral\nÁrea Profissional: Analista em Informática, TI, Telecomunicações - Análise de Sistema\nExigências\nEscolaridade Mínima: Ensino Superior\nHabilidades\nBI\nData\nIA\nLooker\nSQL\nHabilitada para pessoa com deficiência\nFísica\nVisual\nVisão Subnormal ou Baixa Visão\nPsicossocial\nReabilitados\nTEA - Transtornos do espectro autista\nDenunciar vaga']","{'vaga': '/vaga-de-pessoa-analista-dados-pleno-exclusiva-pcd-em-__10832292.aspx', 'empresa': 'https://www.infojobs.com.br/empresa-daki__-9847045.aspx'}"
6,Pessoa Analista De Dados Sênior - Exclusiva PCD,DAKI,Todo Brasil,Salário a combinar,PcD Híbrido,"['A Daki nasceu para revolucionar o delivery de mercado. O que antes alguém recebia em horas ou dias, agora recebe em minutos!\nMais que entregar rápido, buscamos entregar uma experiência incrível para os nossos clientes. Buscamos aquele ""UAU"" de quando o cliente recebe muito antes do que esperava.\nE tudo começa muito antes da montagem do pedido, na verdade, começa bem aqui.\n\nSobre a vaga:\nEstamos em busca de uma pessoa analista de dados pleno para integrar nosso time de Data & Analytics. Procuramos alguém com forte capacidade analítica, pensamento estruturado e boa comunicação para traduzir desafios de negócio em soluções baseadas em dados — indo de KPIs a automações com inteligência artificial. Se você gosta de trabalhar com grandes volumes de dados, construir análises acionáveis e tem curiosidade sobre como IA pode impulsionar decisões, essa vaga é para você.\n\nSobre o time de Data & Analytics\nNosso time é composto por engenheiros, analistas e cientistas de dados que lideram a estratégia analítica da Daki. Trabalhamos com uma stack moderna (Snowflake, Looker, Python, Airflow, PubSub, entre outros) e colaboramos diretamente com áreas como Operações, Comercial, CX, Produto e Tech. Mais do que gerar insights, ajudamos a escalar uma cultura data-driven e acelerar o uso de IA aplicada a negócios. Nossa ambição é ser referência em dados no varejo latino-americano.\n\nResponsabilidades:\n*Trabalhar em parceria com stakeholders para identificar oportunidades analíticas e construir roadmaps de dados;\n* Criar, manter e evoluir KPIs, dashboards, análises ad-hoc e automações analíticas;\n* Participar de iniciativas que envolvem machine learning ou uso de LLMs/IA generativa como copilotos analíticos;\n* Desenvolver e documentar modelos de dados e processos analíticos reutilizáveis;\n* Garantir consistência nas definições de métricas em toda a companhia;\n* Trabalhar com times multidisciplinares (Data Engineering, Data Science, Produto, Tech, etc.) em projetos complexos;\n* Apoiar o uso das ferramentas de self-service BI pela companhia com orientação técnica e disseminação de boas práticas.\n\nRequisitos\n* Experiência sólida com SQL e ferramentas de visualização (preferência por Looker);\n* Vivência com grandes volumes de dados e múltiplas fontes;\n* Boa capacidade de estruturação de análises e storytelling com dados;\n* Experiência com Python para análise de dados (pandas, numpy, jupyter notebooks);\n* Conhecimento em modelagem de dados e conceitos de Data Warehousing;\n* Interesse ou experiência prática em projetos com AI aplicada (ex: automações com LLMs, copilotos, classificação via ML etc.);\n* Boa comunicação e habilidade de trabalhar em equipe;\n* Inglês intermediário (para leitura de documentação e colaboração com áreas globais é um diferencial).\n\nInformações adicionais:\nEstamos em crescimento: Nosso modelo de trabalho é híbrido, permitindo que o Dakier atue de forma remota e presencial;\nSomos Modernos: por meio do cartão Flash, você recebe o vale refeição, dando mais liberdade ao Dakier de como utilizar;\nTransporte: realizamos o depósito direto no VT de acordo com a necessidade de passagem do Dakier até a unidade;\nSaúde: Hoje disponibilizamos para o nosso Dakier a Assistência Médica e Odontológica, e também o Total Pass;\nMimo: Nossos Dakier tem desconto de 10% em todas as compras feitas em nosso do APP.\nNúmero de vagas: 1\nTipo de contrato e Jornada: Efetivo – CLT - Período Integral\nÁrea Profissional: Analista em Informática, TI, Telecomunicações - Análise de Sistema\nExigências\nEscolaridade Mínima: Ensino Superior\nHabilidades\nBI\nData\nIA\nLooker\nSQL\nHabilitada para pessoa com deficiência\nFísica\nVisual\nVisão Subnormal ou Baixa Visão\nPsicossocial\nReabilitados\nTEA - Transtornos do espectro autista\nDenunciar vaga']","{'vaga': '/vaga-de-pessoa-analista-dados-senior-exclusiva-pcd-em-__10831591.aspx', 'empresa': 'https://www.infojobs.com.br/empresa-daki__-9847045.aspx'}"
7,Programador Sênior,EMPREGGA TECNOLOGIA,Todo Brasil,Salário a combinar,Home office,"['Sobre nós:\nSomos uma startup em crescimento que desenvolve soluções de crédito para pessoas em situação de vulnerabilidade. Nosso propósito é ampliar o acesso a serviços financeiros de forma justa e inclusiva.\n\n\nO que você vai fazer:\nLiderar a equipe de devs coordenando com os fundadores para desenvolver e manter nossas soluções digitais.\nImplementar e integrar APIs e sistemas de pagamento.\nGarantir segurança da informação e alta confiabilidade da plataforma. Apoiar decisões técnicas e contribuir para evolução do time. Atuar com autonomia e responsabilidade em um ambiente 100% remoto.\nO que buscamos: Proatividade e postura de liderança técnica.\nCapacidade de aprender rápido e resolver problemas complexos.\n\n\nRequisitos obrigatórios:\nExperiência sólida com Next.js, React, TypeScript e bancos de dados SQL.\nConhecimento em integrações de sistemas e APIs.\nInteresse ou experiência em segurança da informação.\nCapacidade de compreensão técnica em inglês e espanhol.\n\n\nDiferenciais:\nExperiência em DevOps.\nConhecimento em Kotlin, Java e Python.\nNúmero de vagas: 1\nTipo de contrato e Jornada: Prestador de Serviços (PJ) - Período Integral\nÁrea Profissional: Especialista em Informática, TI, Telecomunicações - Programador / Desenvolvedor\nExigências\nEscolaridade Mínima: Ensino Superior\nValorizado\nExperiência desejada: Entre 5 e 10 anos\nDenunciar vaga']","{'vaga': '/vaga-de-programador-senior-em-__10828904.aspx', 'empresa': 'https://www.infojobs.com.br/empresa-empregga-tecnologia__-9875.aspx'}"
8,Pessoa Analista De Dados Sênior,DAKI,Todo Brasil,Salário a combinar,Home office,"['Sobre nós:\nSomos uma startup em crescimento que desenvolve soluções de crédito para pessoas em situação de vulnerabilidade. Nosso propósito é ampliar o acesso a serviços financeiros de forma justa e inclusiva.\n\n\nO que você vai fazer:\nLiderar a equipe de devs coordenando com os fundadores para desenvolver e manter nossas soluções digitais.\nImplementar e integrar APIs e sistemas de pagamento.\nGarantir segurança da informação e alta confiabilidade da plataforma. Apoiar decisões técnicas e contribuir para evolução do time. Atuar com autonomia e responsabilidade em um ambiente 100% remoto.\nO que buscamos: Proatividade e postura de liderança técnica.\nCapacidade de aprender rápido e resolver problemas complexos.\n\n\nRequisitos obrigatórios:\nExperiência sólida com Next.js, React, TypeScript e bancos de dados SQL.\nConhecimento em integrações de sistemas e APIs.\nInteresse ou experiência em segurança da informação.\nCapacidade de compreensão técnica em inglês e espanhol.\n\n\nDiferenciais:\nExperiência em DevOps.\nConhecimento em Kotlin, Java e Python.\nNúmero de vagas: 1\nTipo de contrato e Jornada: Prestador de Serviços (PJ) - Período Integral\nÁrea Profissional: Especialista em Informática, TI, Telecomunicações - Programador / Desenvolvedor\nExigências\nEscolaridade Mínima: Ensino Superior\nValorizado\nExperiência desejada: Entre 5 e 10 anos\nDenunciar vaga']","{'vaga': '/vaga-de-pessoa-analista-dados-senior-em-__10828696.aspx', 'empresa': 'https://www.infojobs.com.br/empresa-daki__-9847045.aspx'}"
9,Engenheiro De Cloud PL. (Devops),AmorSaúde,Todo Brasil,Salário a combinar,Home office,"['Apoia na construção, operação e evolução da infraestrutura e dos pipelines de entrega contínua. Atua garantindo que a plataforma funcione de forma estável, automatizada e observável, colaborando com os times de frontend e backend, e suportando a transição de persistência para AWS Aurora Postgres. Esse profissional executa, entrega e resolve incidentes com orientação, assumindo responsabilidade dentro de limites definidos e escalando quando necessário.\n\nResponsabilidades principais\n• Implementar e manter infraestrutura como código (IaC) em AWS usando Terraform ou equivalente, seguindo padrões e módulos definidos.\n• Dar suporte e evoluir pipelines de CI/CD com GitHub Actions para build, teste e deploy, garantindo rollback básico e integração com quality gates e feature flags.\n• Auxiliar na operação e manutenção de Aurora Postgres, incluindo backups, restaurações, gestão de conexões e suporte a tuning básico.\n• Operar ambientes containerizados (Docker e Kubernetes/EKS) em configurações padrão: aplicar deploys, monitorar health checks, lidar com secrets e diagnosticar problemas comuns.\n• Contribuir com observability: configurar alertas, ler dashboards, coletar métricas e participar da resposta a incidentes e post-mortems.\n• Executar configurações e verificações básicas de segurança de borda e APIs conforme guidelines (API Gateway, WAF superficialmente).\n• Ajudar na configuração de networking em cloud (VPC, sub-redes, security groups) para suportar conectividade entre serviços.\n• Escrever e manter automações e scripts para tarefas operacionais repetitivas e recuperação simples.\n• Seguir práticas de gerenciamento de secrets e configs, auxiliando na rotação e proteção de credenciais.\n• Colaborar com desenvolvedores frontend e backend para remover bloqueios e sincronizar entregas.\n• Identificar e reportar dependências e riscos, buscando soluções ou escalando quando necessário.\n\nConhecimentos técnicos obrigatórios\n• AWS: operar serviços principais (S3, IAM básico, CloudWatch, Lambda se aplicável) e seguir padrões de deploy seguro com apoio de referências.\n• Aurora Postgres: compreender backups, restaurações, conexões e noções básicas de performance; apoiar ajustes simples.\n• CI/CD com GitHub Actions: manter pipelines existentes, adicionar etapas de teste/build e lidar com falhas de deploy de forma controlada.\n• Infraestrutura como código: usar Terraform para aplicar mudanças seguras seguindo plan/apply, respeitando state e modularização.\n• Containerização & Kubernetes (EKS preferencial): implantar e gerenciar workloads, lidar com health checks e secrets em configurações padrão.\n• Observability: configurar métricas básicas, alertas e participar da resposta a incidentes sob supervisão.\n• Segurança de borda e APIs: seguir guidelines para uso de API Gateway e WAF em nível básico.\n• Networking em cloud: entender VPC, sub-redes, security groups e auxiliar em ajustes de conectividade.\n• Automação/scripting: escrever scripts em shell, Python ou similar para tarefas operacionais e recuperação.\n• Gerenciamento de secrets/configs: aplicar práticas seguras, evitar vazamentos e ajudar na rotação.\n\nConhecimentos desejados\n• Noção do legado em Oracle Cloud / OracleDB para compreender contexto da migração e facilitar comunicação.\n• GitOps: entender o fluxo de promoção declarativa e trabalhar com Git como fonte de verdade em configuração.\n• Feature flags: usar toggles para rollout controlado em colaboração com times.\n• Cache distribuído (ex: Redis): conhecimento básico de uso para offload de leitura.\n• Disaster recovery / multiregião: ter noções de resiliência e failover para contribuir com planos.\n• FinOps básico: identificar oportunidades óbvias de otimização de custo e aplicar tagging.\n• Segurança avançada de pipeline: ter familiaridade inicial com scanning de imagens e princípios de hardening.\n Benefícios:\n -. Convênio com o SESC\n -. Seguro de vida\n -. Plataforma de cursos EAD Refuturiza\n -. Day off de anivers\nNúmero de vagas: 1\nTipo de contrato e Jornada: Efetivo – CLT - Período Integral\nÁrea Profissional: Especialista em Informática, TI, Telecomunicações - Infraestrutura\nExigências\nEscolaridade Mínima: Curso Técnico\nValorizado\nExperiência desejada: Entre 1 e 3 anos\nInglês (Intermediário)\nHabilidades\nAntecipação de problemas e mitigação antes de escalarem.\nAssume responsabilidade (ownership) da infraestrutura e pipelines.\nAWS\nCloud\nComunicação clara e proativa; remove bloqueios de forma colaborativa.\nDecisões baseadas em dados, com viés para ação pragmática.\nMentalidade de melhoria contínua e aprendizado técnico.\nOracle\nDenunciar vaga']","{'vaga': '/vaga-de-engenheiro-cloud-pl-devops-em-__10822142.aspx', 'empresa': 'https://www.infojobs.com.br/empresa-amorsaude__-7253952.aspx'}"
10,Engenheiro De Cloud SR. (Devops),AmorSaúde,Todo Brasil,Salário a combinar,Home office,"['Responsável por projetar, construir, operar e evoluir a infraestrutura crítica e os pipelines de entrega contínua da plataforma. Atua como pilar técnico de confiabilidade, observability e segurança na nuvem (principalmente AWS), suportando a transição de persistência e garantindo que os times de desenvolvimento (frontend e backend) consigam entregar valor de forma previsível, segura e escalável. Esse profissional tem ownership da infraestrutura e automação, antecipa riscos, responde a incidentes e entrega operações de produção de alta qualidade.\n\nResponsabilidades principais\n• Projetar, implementar e manter infraestrutura como código (IaC) para ambientes em AWS, garantindo idempotência, modularidade e segurança.\n• Construir e evoluir pipelines de CI/CD usando GitHub Actions para build, teste, quality gates e deploys das aplicações.\n• Gerenciar e otimizar o banco de dados de destino da migração: Aurora Postgres (tuning, alta disponibilidade, conexões, backup/restore).\n• Garantir observability completa: instrumentar aplicações e infraestrutura (tracing, logs estruturados, métricas), definir e monitorar SLIs/SLOs, e liderar post-mortems.\n• Operar workloads containerizadas (Docker + Kubernetes/EKS): deploys, health checks, autoscaling, secrets management, segurança e recuperação.\n• Definir e aplicar boas práticas de segurança de borda e APIs, incluindo integração/uso de API Gateway e noções de proteção (WAF, rate limiting, mitigação OWASP).\n• Projetar e manter a rede em cloud: VPCs, sub-redes, security groups, peering, conectividade segura entre serviços.\n• Automatizar tarefas operacionais recorrentes com foco em confiabilidade e auto- recuperação.\n• Gerenciar secrets e configurações de forma segura nos pipelines e runtime.\n• Colaborar com times de frontend e backend para remover bloqueios, alinhar releases e garantir suporte técnico de produto.\n• Antecipar e mitigar dependências e riscos entre componentes da plataforma.\n• Participar e liderar incident response: detectar, diagnosticar, comunicar e resolver incidentes de produção com transparência e lições aprendidas.\n\nConhecimentos técnicos obrigatórios\n• AWS: experiência prática com serviços centrais (EC2/EKS, IAM, S3, CloudWatch, Secrets Manager / Parameter Store), deploy seguro e arquitetura resiliente.\n• Aurora Postgres: operação, tuning de performance, gerenciamento de conexões, estratégia de failover e backup/restore.\n• CI/CD com GitHub Actions: definição, implementação e manutenção de pipelines completos (build ? test ? quality gate ? deploy), incluindo rollback e rollout controlado.\n• Infraestrutura como código: uso avançado de Terraform com modularização, controle de estado e workflows seguros.\n• Containerização & Kubernetes (preferencialmente EKS): deploys, gestão de secrets, health checks, autoscaling, security context, políticas de rede.\n• Observability / Monitoring / Tracing: instrumentação de sistemas distribuídos, definição de SLIs/SLOs, dashboards, alerting e resposta a incidentes.\n• Networking em cloud: design de VPC, sub-redes, security groups, conectividade segura.\n• Automação / scripting: proficiência em shell, Python ou outra linguagem para glue logic.\n• Segurança de pipeline e runtime: gerenciamento de secrets, prevenção de vazamentos, hardening básico.\n\nConhecimentos desejados\n• Noção do sistema legado em Oracle Cloud / Oracle Database para facilitar comunicação durante a migração.\n• Práticas de GitOps: promover ambientes de forma declarativa via Git.\n• Integração com feature flags para controlar rollouts e experimentos.\n• Experiência com cache distribuído (ex: Redis).\n• Estratégias de disaster recovery / multiregião e resiliência.\n• Consciência de FinOps: otimização de custos, tagging e rightsizing.\n• Segurança avançada: scanning de imagens (SBOM, SCA), detecção de anomalias.\n Benefícios:\n -. Convênio com o SESC\n -. Seguro de vida\n -. Plataforma de cursos EAD Refuturiza\n -. Day off de aniversário\n -. Cartão de Todos\nNúmero de vagas: 1\nTipo de contrato e Jornada: Efetivo – CLT - Período Integral\nÁrea Profissional: Especialista em Informática, TI, Telecomunicações - Infraestrutura\nExigências\nEscolaridade Mínima: Curso Técnico\nValorizado\nExperiência desejada: Entre 3 e 5 anos\nInglês (Avançado)\nHabilidades\nAntecipação de problemas e mitigação antes de escalarem.\nAssume responsabilidade (ownership) da infraestrutura e pipelines.\nAWS\nCloud\nComunicação clara e proativa; remove bloqueios de forma colaborativa.\nDecisões baseadas em dados, com viés para ação pragmática.\nMentalidade de melhoria contínua e aprendizado técnico.\nOracle\nDenunciar vaga']","{'vaga': '/vaga-de-engenheiro-cloud-sr-devops-em-__10822008.aspx', 'empresa': 'https://www.infojobs.com.br/empresa-amorsaude__-7253952.aspx'}"
